asset,captured_at,language,metadata,news_id,provider,published_at,query,raw_payload_sha256,source,title,url
ETH-USD,2026-09-21T19:42:01.399982+00:00,en,"{""feed_url"": ""https://news.google.com/rss/search?q=%22Ethereum%22%20when%3A7d&hl=en-US&gl=US&ceid=US:en"", ""position"": 5}",e09999244e513d50fd1f87f9b8b999a4b312b677feb5c853242a693b621e1d51,google_news_rss,2026-09-15T07:00:00+00:00,Ethereum,aeef5de02e5200a2dcbfad6c3a025c8113af86128b970a76c73ad2f3835a5cb6,NerdWallet,"30 Ethereum ETFs (Plus Their Fees, Holdings and Promotions) - NerdWallet",https://news.google.com/rss/articles/CBMiZ0FVX3lxTFA5eF9FN29MUmNWR2M5TDBBdE5pZ2VqSFhramwxb2p2QVg5c3ZkODliVUhGdERHaDNHeVczRXRZRGh0alc1RVdJbi1yS19XZ0RieTZCaEpBRHUyOTBVWmpyV0dMZFVIUG8?oc=5
ETH-USD,2026-09-21T19:42:01.399982+00:00,en,"{""feed_url"": ""https://news.google.com/rss/search?q=%22Ethereum%22%20when%3A7d&hl=en-US&gl=US&ceid=US:en"", ""position"": 3}",136881c1484814663c2b5015518d5ae44d9eb446e417b09f898ce1ed215c24f5,google_news_rss,2026-09-15T19:14:45+00:00,Ethereum,d00abc687d55ba7aed14b76a3d7513d845619bda72bad65ec5892869108c27f6,Forbes,"Bitcoin, Ethereum And Other Major Cryptocurrencies Tumble As CLARITY Act Fails - Forbes",https://news.google.com/rss/articles/CBMi0AFBVV95cUxQZDdJdTRJaUhEUWRNQllra1pzeDlwN2RLMGNJYXJtS09NeDlNWkFySGQtaElHbUdYV0p6b0RkbzZwNkFZaUJYbzdjYnBLU2tkWmR2R3ZvbjBPYlJ0Yzdmb3VaSmZZOEdrVVRZdnFDZGxQRlVRWnlJRWlCN0hUZ2hIRTVscWxGVHNNNzAtNUZyaUdCX2M3RTMtck1NN05mR1h1MU9UeHlZeHZXUHZuT054QXQ4eVFVS29SbFB5NFd4ME02U3c2Q2g5YTBYSW9qSS01?oc=5
ETH-USD,2026-09-21T19:42:01.399982+00:00,en,"{""feed_url"": ""https://news.google.com/rss/search?q=%22Ethereum%22%20when%3A7d&hl=en-US&gl=US&ceid=US:en"", ""position"": 2}",d495b81e5c4493c4f094ea643cf19eb4cee600bf4f62374edc4b68aa52ee14e3,google_news_rss,2026-09-18T06:17:55+00:00,Ethereum,ff247b19798c28dc734fe6ce2fa7c320462fc0a052e9b54d640660d7daa4ba7a,CoinDesk,Ethereum developers warn ‘any teenager’ could disrupt upcoming Glamsterdam test - CoinDesk,https://news.google.com/rss/articles/CBMivwFBVV95cUxNX2gxaTZ4UGs2RUNjMEFnX25pUjFfdkpiRGVIM1k3cjFvX01vTm43NklYd0dteEN6c1hvb3RrUmRhN3Q0d3BfWER1WGJYT1NrTng0S3dxYzZCODdoc2VPVHpFMzU5b2lZSG14OGt2NUl5dUF4c3FkNGZqWFI5NUhMcXMtc0RGbFd4aHlHTWpBbmc4SU0yRjUzcWJyaWMzamxQd0xEcWFtVlBjd3ZOOE53dWRJWXdHZ205UXp0NFJYYw?oc=5
ETH-USD,2026-09-21T19:42:01.399982+00:00,en,"{""feed_url"": ""https://news.google.com/rss/search?q=%22Ethereum%22%20when%3A7d&hl=en-US&gl=US&ceid=US:en"", ""position"": 1}",73b074df5afb5283579a5dc3987c3d0be1b484ddae28648b47002fc43f1571a7,google_news_rss,2026-09-18T19:20:28+00:00,Ethereum,7975b37a0b350867a5a290771e31494397e2e1ec45604e183d57c357d13c2fdd,Yahoo Finance,Why Ethereum Jumped 5.8% Today - Yahoo Finance,https://news.google.com/rss/articles/CBMikgFBVV95cUxPV3AzWUNERWphQ19zQjB6Wkx5MGJyLV9fMm5QanRtbTV5Y0dHNkMzQXQ1MFJMNEM4d0M1SHZUVi1UYTVVYjdZQzhjU1BMaExHdFZiYWFaa1lpQ0lHVlZXbTFUX21WaVJXdktJVlViYVNOUURWRUdKNU5XQk9ZVW1rVTZDSk8wdWQzTXJsWXNKOHJ2Zw?oc=5
ETH-USD,2026-09-21T19:42:01.399982+00:00,en,"{""feed_url"": ""https://news.google.com/rss/search?q=%22Ethereum%22%20when%3A7d&hl=en-US&gl=US&ceid=US:en"", ""position"": 4}",6935d3e2668a207ce013401b9db717d6ad1c3c240479766fdacf1cb91af2e680,google_news_rss,2026-09-21T16:33:00+00:00,Ethereum,3ded41e476b029a9b3d4615280dce162bb006f0727fc9c5bde1a5ff512998fdd,Fortune,"Current price of Ethereum for September 21, 2026 - Fortune",https://news.google.com/rss/articles/CBMiaEFVX3lxTE9ZeGxvMGZNMXoyOEcxNTFmcEQ3bGstdmVPSWlxUi1SQWN1MnJTNlJ0NUhOc2ZVVUxBNFI5TVl4VEdyQmExZmczMTJVVkliWmQ2Z2w3LUVJY1lVVG41UWl1WmFJX2t3Qmgz?oc=5
