analyzer,asset,confidence,created_at,error,evidence,model_name,model_version,news_id,raw_response_sha256,relevance,score,sentiment,status
lexicon_baseline,BTC-USD,0.75,2026-09-21T17:41:50.194542+00:00,,"[""positive:approval"", ""positive:inflows"", ""asset:bitcoin""]",financial_bilingual_lexicon,financial-bilingual-1.0,a7caefe3ba3ba50e8cbd898cbc464b148ff2d4cfe62eb482763f365f42e48242,,0.95,1.0,1,ok
lexicon_baseline,BTC-USD,0.55,2026-09-21T17:41:50.194542+00:00,,"[""negative:breach"", ""asset:bitcoin""]",financial_bilingual_lexicon,financial-bilingual-1.0,f507d8c50a7135af9d7e481fc6badafaffd65da0d7405cedb56b45533c2d1016,,0.95,-1.0,-1,ok
lexicon_baseline,BTC-USD,0.35,2026-09-21T17:41:50.194542+00:00,,"[""asset:bitcoin""]",financial_bilingual_lexicon,financial-bilingual-1.0,6ca92548e60c6e1df9afd43f2079ccd4db78d3860778730c82511b802654f56b,,0.95,0.0,0,ok
lexicon_baseline,BTC-USD,0.95,2026-09-21T17:41:50.194542+00:00,,"[""positive:rally"", ""positive:record high"", ""positive:bullish"", ""asset:bitcoin""]",financial_bilingual_lexicon,financial-bilingual-1.0,332f7af93c89a760346751721db2648d1a4d7ec20698822a232519ea948f5470,,0.8,1.0,1,ok
lexicon_baseline,BTC-USD,0.55,2026-09-21T17:41:50.194542+00:00,,"[""negative:fraud"", ""asset:bitcoin""]",financial_bilingual_lexicon,financial-bilingual-1.0,66f2bbd9138170ec07fb798acbfd8f34429b028820a3f4961a1f118b1c693c8b,,0.8,-1.0,-1,ok
lexicon_baseline,BTC-USD,0.35,2026-09-21T17:41:50.194542+00:00,,"[""asset:bitcoin""]",financial_bilingual_lexicon,financial-bilingual-1.0,3c4bd15f6a015cee0bda59ccb6eca5ae81dfca6df31f2f168c6fdb08bad70e27,,0.95,0.0,0,ok
