fold,strategy,observations,total_return,annualized_return,annualized_volatility,sharpe,sortino,max_drawdown,profit_factor,exposure,entries,transactions,turnover,total_cost,win_rate_active
1,B0_buy_and_hold,180,0.10145304139769973,0.21645961311148687,0.4797460089169107,0.6461073084460598,1.0221847824953676,-0.22146357613987455,1.0986361897003263,1.0,1,2,2.0,0.003,0.4722222222222222
1,B1_technical,180,-0.22908056912452934,-0.4099628656026999,0.3652733924939244,-1.2611229233239023,-1.4279529226933336,-0.28889651731322774,0.7875089566442683,0.5055555555555555,11,22,22.0,0.033,0.4175824175824176
1,M1_xgboost,180,-0.026518006342219902,-0.053040028914772774,0.2762119684744648,-0.05926910587178811,-0.06082370567577169,-0.20639416411548528,0.9874498796051523,0.4111111111111111,32,64,64.0,0.096,0.5
2,B0_buy_and_hold,180,0.25649802513162445,0.5888325020264071,0.4729156908351001,1.211452121609533,1.9298149258770179,-0.17046560296318825,1.2092973320223916,1.0,1,2,2.0,0.003,0.5111111111111111
2,B1_technical,180,0.0655475987964973,0.13739580493536052,0.3873535753238549,0.5214245998496535,0.6234118223010482,-0.19231620936980465,1.1178336500034352,0.49444444444444446,8,16,16.0,0.024,0.5393258426966292
2,M1_xgboost,180,0.17099216253507654,0.3772483290651216,0.3500062094269757,1.083694609213697,1.4970552733761129,-0.15810402137488033,1.3252961379443615,0.4,24,48,48.0,0.07200000000000001,0.4861111111111111
3,B0_buy_and_hold,180,0.39714067836118994,0.9702199997240937,0.6272826047146292,1.3880784616852644,2.239331655816942,-0.29150628522358335,1.2315197645099514,1.0,1,2,2.0,0.003,0.5444444444444444
3,B1_technical,180,0.4797647334507025,1.2136702054356503,0.43716436218791754,2.0272248063837335,2.706683725253954,-0.2420369398308745,1.6333718794080931,0.42777777777777776,6,12,12.0,0.018000000000000002,0.5714285714285714
3,M1_xgboost,180,0.38370224516339047,0.9319822965407838,0.5985243630638672,1.3918029263107026,2.342181308102912,-0.2638831196185709,1.2352264187497308,0.95,9,18,18.0,0.027000000000000003,0.5380116959064327
4,B0_buy_and_hold,180,0.02385889991779,0.04897386269825166,0.6832918530937057,0.4064146776852723,0.6687048372693576,-0.3302699546411737,1.0597968996508098,1.0,1,2,2.0,0.003,0.5166666666666667
4,B1_technical,180,-0.026261593358326563,-0.052534177636822,0.4217644524087524,0.08065223822745878,0.0841359359189355,-0.277678267774381,1.0176895504832713,0.4,9,18,18.0,0.027,0.5
4,M1_xgboost,180,0.1502074768882795,0.32813004115922784,0.6567509478926714,0.7545290345890773,1.262249517443648,-0.3302699546411737,1.116781147730637,0.9555555555555556,5,10,10.0,0.015,0.5232558139534884
5,B0_buy_and_hold,180,0.12088487224713673,0.26037189523366955,0.8137146553399721,0.6832831178568562,1.0281032972255335,-0.556083196579005,1.1136550984443485,1.0,1,2,2.0,0.003,0.5055555555555555
5,B1_technical,180,0.672584648499625,1.837797736274712,0.48471722934208966,2.3815817769608563,3.3013895225807777,-0.21979726292378465,1.9455327876844593,0.37777777777777777,6,12,12.0,0.018000000000000002,0.5735294117647058
5,M1_xgboost,180,0.14502742130827473,0.31602927233612155,0.7783072350562869,0.7340112843034508,1.0339964963671877,-0.5500897400559043,1.1353773603630453,0.8222222222222222,17,34,34.0,0.051000000000000004,0.5135135135135135
