regime,volatility_boundary,strategy,observations,total_return,annualized_return,annualized_volatility,sharpe,sortino,max_drawdown,profit_factor,exposure,entries,transactions,turnover,total_cost,win_rate_active
low_volatility,0.462613235190249,B0_buy_and_hold,450,2.11330011948297,1.5122162695973884,0.5521872254057725,1.940387965801212,3.046068844074472,-0.3182299351625234,1.3595496392817619,1.0,1,1,1.0,0.0015,0.5333333333333333
low_volatility,0.462613235190249,B1_technical,450,0.7725516873241591,0.590894339105779,0.3950928702724683,1.3653005462369319,1.6683727600119276,-0.27790297072659154,1.4053497969086701,0.4022222222222222,23,38,38.0,0.056999999999999995,0.5248618784530387
low_volatility,0.462613235190249,M1_xgboost,450,1.0748759011747149,0.8076562038161852,0.46894204960702734,1.4913444270164289,1.9679374553358127,-0.3333141302544709,1.357000058799001,0.6022222222222222,53,98,98.0,0.147,0.5498154981549815
high_volatility,0.462613235190249,B0_buy_and_hold,450,-0.27865947470246155,-0.2327515020500982,0.6939868048662219,-0.03862515325573248,-0.06060161181469323,-0.6264771837161787,0.994279496804799,1.0,1,1,1.0,0.0015,0.4866666666666667
high_volatility,0.462613235190249,B1_technical,450,0.11687872419748957,0.09380074437853492,0.4465341303223845,0.41870050300014966,0.5252304842758748,-0.39257373655178407,1.0916823920160903,0.48,23,42,42.0,0.063,0.5092592592592593
high_volatility,0.462613235190249,M1_xgboost,450,0.004178312612509005,0.0033877406034621416,0.6447938342616789,0.3228808606906795,0.47603642216416575,-0.5862628802852685,1.0543430334404524,0.8133333333333334,37,74,74.0,0.111,0.49453551912568305
