cost_multiplier,strategy,observations,total_return,annualized_return,annualized_volatility,sharpe,sortino,max_drawdown,profit_factor,exposure,entries,transactions,turnover,total_cost,win_rate_active
0.0,B0_buy_and_hold,900,1.252508826868267,0.39003539483366834,0.6274122017264768,0.8344477767591482,1.284073993345343,-0.6378870076562846,1.13661284472752,1.0,1,2,2.0,0.0,0.51
0.0,B1_technical,900,1.2323530329847405,0.38497751341085173,0.4213005702985334,0.9775893601564345,1.2008133343136624,-0.3077803866279383,1.2500222860978085,0.4411111111111111,40,80,80.0,0.0,0.5163727959697733
0.0,M1_xgboost,900,1.6938271903422248,0.4946476919802705,0.5643037917354464,0.9895488772825758,1.3224576008576898,-0.5966389061876295,1.1981309753560394,0.7077777777777777,86,172,172.0,0.0,0.5180533751962323
1.0,B0_buy_and_hold,900,1.2457495435967334,0.38834223423977887,0.6274183873469878,0.8325003868378608,1.281253481013461,-0.6378870076562851,1.13627373681151,1.0,1,2,2.0,0.003,0.51
1.0,B1_technical,900,0.9797252671127126,0.3191366162537894,0.4214653232898069,0.8617370592913053,1.0580267634393892,-0.31924398599639825,1.2155436632879293,0.4411111111111111,40,80,80.0,0.12000000000000001,0.5163727959697733
1.0,M1_xgboost,900,1.0835453813219829,0.3467665254731247,0.5635998083253169,0.8051330811717643,1.1097846503514768,-0.6062726612973725,1.1567426197716038,0.7077777777777777,86,172,172.0,0.258,0.5180533751962323
2.0,B0_buy_and_hold,900,1.239000417060799,0.38664859262356877,0.6274274783804563,0.830549189292758,1.278589935085921,-0.6378870076562851,1.1359148746722223,1.0,1,2,2.0,0.006,0.5088888888888888
2.0,B1_technical,900,0.7553693916102935,0.25633370558726076,0.42178790538230515,0.745696160569771,0.9265191114887933,-0.3329921316591692,1.1825154137737026,0.4411111111111111,40,80,80.0,0.24000000000000002,0.5138539042821159
2.0,M1_xgboost,900,0.6109022273065268,0.21332754517603525,0.5631206897106297,0.6200083272927812,0.8644417559722472,-0.6156903928305981,1.1174696919550617,0.7077777777777777,86,172,172.0,0.516,0.5149136577708007
