fold,strategy,observations,total_return,annualized_return,annualized_volatility,sharpe,sortino,max_drawdown,profit_factor,exposure,entries,transactions,turnover,total_cost,win_rate_active
1,B0_buy_and_hold,180,0.2399970006065386,0.5468075633373424,0.4636423516109805,1.168294103293886,2.0845153834158507,-0.18705604403028597,1.1960063842616933,1.0,1,2,2.0,0.003,0.4666666666666667
1,B1_technical,180,-0.0430342553905072,-0.08533485782874017,0.31310851515588534,-0.13153997703421771,-0.18798344095191602,-0.18341126577227707,0.9736504690210102,0.4777777777777778,14,28,28.0,0.042,0.3953488372093023
1,M1_xgboost,180,0.03463468596352692,0.07148185006782737,0.25487351441257633,0.3955639171498817,0.493840007794089,-0.09396468035638139,1.0970141075808646,0.36666666666666664,28,56,56.0,0.084,0.4696969696969697
2,B0_buy_and_hold,180,0.4804413259774296,1.2157231150821644,0.4314008541577971,2.0597062039897804,2.914921924168201,-0.15895511419392527,1.391966055088137,1.0,1,2,2.0,0.003,0.5111111111111111
2,B1_technical,180,0.17783471735209333,0.3936164621467202,0.3447387523412054,1.1330560053323293,1.385665867098851,-0.15221365043710822,1.2589336867655185,0.5833333333333334,11,22,22.0,0.033,0.4857142857142857
2,M1_xgboost,180,-0.10956916154919383,-0.20968469847798532,0.20345630000732545,-1.0542366181416436,-0.7729894923370212,-0.16154494594272562,0.6906826319782199,0.2222222222222222,20,40,40.0,0.06000000000000001,0.4
3,B0_buy_and_hold,180,0.5612941692061371,1.4679937278699904,0.5382072117521958,1.9459541744688924,3.244844505914386,-0.23576831056984238,1.322040912317078,1.0,1,2,2.0,0.003,0.5277777777777778
3,B1_technical,180,0.3066411150360162,0.7200426025060411,0.40920451387608714,1.528188678398429,1.921133426586556,-0.32320419056029537,1.3366121558444386,0.6,9,18,18.0,0.027000000000000003,0.5092592592592593
3,M1_xgboost,180,0.2593018100675859,0.5960299593018696,0.4729918334118962,1.2219484941545693,1.8559007635460603,-0.23746634890451612,1.223676240316708,0.7277777777777777,24,48,48.0,0.072,0.5114503816793893
4,B0_buy_and_hold,180,0.5286469794336381,1.364471314094212,0.5200494349392264,1.9118369235461954,3.33418768838774,-0.2096420587058101,1.320314785435593,1.0,1,2,2.0,0.003,0.5444444444444444
4,B1_technical,180,0.2595552144479141,0.5966812735757547,0.3847193030210889,1.4057268676402492,1.8972460818392216,-0.17622316188260778,1.3063193242305815,0.5833333333333334,10,20,20.0,0.03,0.5333333333333333
4,M1_xgboost,180,0.1522456769883047,0.332906729407892,0.36170959798820934,0.9706235848085295,1.2187805047075608,-0.1759959095793453,1.2544890259023902,0.4,32,64,64.0,0.096,0.5555555555555556
5,B0_buy_and_hold,180,0.15079374946484148,0.32950312828637895,0.4534847822406791,0.8527527273841496,1.2584804978862716,-0.27236568189128807,1.1389741794904396,1.0,1,2,2.0,0.003,0.5111111111111111
5,B1_technical,180,0.06636404229216253,0.13916369897656056,0.26747043737874343,0.6206897685626498,0.6219712898861196,-0.1825176218249407,1.1406059549325165,0.5277777777777778,9,18,18.0,0.027000000000000003,0.5263157894736842
5,M1_xgboost,180,0.15079374946484148,0.32950312828637895,0.4534847822406791,0.8527527273841496,1.2584804978862716,-0.27236568189128807,1.1389741794904396,1.0,1,2,2.0,0.003,0.5111111111111111
