probability_threshold,observations,total_return,annualized_return,annualized_volatility,sharpe,sortino,max_drawdown,profit_factor,exposure,entries,transactions,turnover,total_cost,win_rate_active,ablation
0.45,900,1.8490562249611249,0.528996617869407,0.44715229781270055,1.1713299326510114,1.7560716580208613,-0.3547557595748677,1.209808132264307,0.8433333333333334,78,156,156.0,0.23399999999999999,0.5125164690382081,
0.5,900,0.538369384951422,0.19086759325464953,0.3645845187657678,0.659432056125648,0.8298593334296884,-0.2920379122160187,1.141776608575729,0.5433333333333333,105,210,210.0,0.315,0.5030674846625767,
0.55,900,0.08086014118143625,0.03203733594239422,0.14387839540546968,0.28967249665524003,0.18433370662122223,-0.14272433814056895,1.1563753210058603,0.09111111111111111,56,112,112.0,0.168,0.5121951219512195,
0.5,900,0.8421583561224766,0.28116428350376954,0.2844213308584004,1.0115680481964877,1.0695700996134756,-0.1793549977569675,1.3011872020564965,0.33555555555555555,98,196,196.0,0.29400000000000004,0.5033112582781457,uncalibrated_probability
