regime,volatility_boundary,strategy,observations,total_return,annualized_return,annualized_volatility,sharpe,sortino,max_drawdown,profit_factor,exposure,entries,transactions,turnover,total_cost,win_rate_active
low_volatility,0.3702131001425726,B0_buy_and_hold,450,1.0812480963027724,0.8121578078767189,0.44092946776287945,1.5671011037471627,2.4993984954718487,-0.2650117567970759,1.2723964764526816,1.0,1,1,1.0,0.0015,0.5133333333333333
low_volatility,0.3702131001425726,B1_technical,450,0.5397746434303701,0.41921629249448467,0.3206133552705868,1.2500052256472758,1.6577157580160204,-0.236231249063664,1.295347029549731,0.5222222222222223,28,48,48.0,0.07200000000000001,0.4978723404255319
low_volatility,0.3702131001425726,M1_xgboost,450,-0.0942359237836603,-0.07714288788455959,0.2818085156186745,-0.14473496325353535,-0.16717921028650046,-0.3414859085982629,0.9709857034586842,0.5266666666666666,57,109,109.0,0.16349999999999998,0.48945147679324896
high_volatility,0.3702131001425726,B0_buy_and_hold,450,1.4517736847162332,1.0697212721528344,0.5206579398196226,1.6559025323325909,2.6872696490061365,-0.2685970686200184,1.2757593946731907,1.0,1,1,1.0,0.0015,0.5133333333333333
high_volatility,0.3702131001425726,B1_technical,450,0.29240829757291076,0.2312820974151082,0.3718650342946502,0.7441795659344476,0.9054068795127734,-0.32320419056029526,1.1544211003082947,0.5866666666666667,30,54,54.0,0.081,0.48863636363636365
high_volatility,0.3702131001425726,M1_xgboost,450,0.6984217251998739,0.5367120283803217,0.4316126498584466,1.2085488759568486,1.6029240155040538,-0.23005761603748975,1.2626853660428514,0.56,52,101,101.0,0.15150000000000002,0.5158730158730159
