cost_multiplier,strategy,observations,total_return,annualized_return,annualized_volatility,sharpe,sortino,max_drawdown,profit_factor,exposure,entries,transactions,turnover,total_cost,win_rate_active
0.0,B0_buy_and_hold,900,4.117964939194544,0.9390024241878199,0.48221018419511497,1.6129617757473032,2.585307897905589,-0.2814366004080119,1.2747417611733993,1.0,1,2,2.0,0.0,0.5133333333333333
0.0,B1_technical,900,1.3197436070256754,0.40671531850296483,0.3465218224799544,1.1566410501527686,1.4052161286199538,-0.3325554953955142,1.263388159808872,0.5544444444444444,51,102,102.0,0.0,0.501002004008016
0.0,M1_xgboost,900,1.1085802986290112,0.3533059866103596,0.36405447652509676,1.0113011721637484,1.1916745687568189,-0.2897390232582614,1.2305296912448977,0.5433333333333333,105,210,210.0,0.0,0.5194274028629857
1.0,B0_buy_and_hold,900,4.102749313880889,0.9366624805216555,0.48219595007516275,1.6104862104193771,2.581632730901036,-0.281436600408012,1.2742530586004677,1.0,1,2,2.0,0.003,0.5133333333333333
1.0,B1_technical,900,0.9900175255617798,0.3219136179449482,0.34700825966812004,0.9762054798869878,1.2205796284908215,-0.35605821998091647,1.2151473945475832,0.5544444444444444,51,102,102.0,0.153,0.49298597194388777
1.0,M1_xgboost,900,0.538369384951422,0.19086759325464953,0.3645845187657678,0.659432056125648,0.8298593334296884,-0.2920379122160187,1.141776608575729,0.5433333333333333,105,210,210.0,0.315,0.5030674846625767
2.0,B0_buy_and_hold,900,4.087556336159931,0.9343218776647644,0.4821854961902362,1.6079978924616058,2.5779031321153796,-0.2814366004080118,1.273764565966888,1.0,1,2,2.0,0.006,0.5133333333333333
2.0,B1_technical,900,0.7067643067649734,0.24210775665523276,0.34773168923350073,0.7957323799392397,1.008649180599465,-0.3807785013142926,1.1698846384581292,0.5544444444444444,51,102,102.0,0.306,0.4909819639278557
2.0,M1_xgboost,900,0.12182513759960245,0.047725294684513475,0.36551639170459016,0.3082453246921655,0.3959059464132613,-0.33822897752340375,1.062709027665283,0.5433333333333333,105,210,210.0,0.63,0.49897750511247446
