Date,fold,entry_open,exit_open,execution_return,probability_raw,probability_calibrated,sentiment,sentiment_status,B0_buy_and_hold_position,B0_buy_and_hold_net_return,B0_buy_and_hold_equity,B1_technical_position,B1_technical_net_return,B1_technical_equity,M1_xgboost_position,M1_xgboost_net_return,M1_xgboost_equity
2023-02-03,1,23446.3203125,23332.248046875,-0.004865252376688889,0.6450711,0.5411138720754353,,,1.0,-0.0063652523766888885,0.9936347476233112,1.0,-0.0063652523766888885,0.9936347476233112,1.0,-0.0063652523766888885,0.9936347476233112
2023-02-04,1,23332.248046875,22954.021484375,-0.01621046380700797,0.669555,0.5561132617557085,,,1.0,-0.01621046380700797,0.977527467509578,1.0,-0.01621046380700797,0.977527467509578,1.0,-0.01621046380700797,0.977527467509578
2023-02-05,1,22954.021484375,22757.267578125,-0.008571652962158782,0.5943529,0.511197108596756,,,1.0,-0.008571652962158782,0.969148441297108,1.0,-0.008571652962158782,0.969148441297108,1.0,-0.008571652962158782,0.969148441297108
2023-02-06,1,22757.267578125,23263.416015625,0.02224117793414382,0.6419436,0.5392273259086476,,,1.0,0.02224117793414382,0.9907034442245951,0.0,-0.0015,0.9676947186351623,1.0,0.02224117793414382,0.9907034442245951
2023-02-07,1,23263.416015625,22946.56640625,-0.013620080952951419,0.5861317,0.5064641376495919,,,1.0,-0.013620080952951419,0.9772099831138883,1.0,-0.015120080952951418,0.9530630961516552,1.0,-0.013620080952951419,0.9772099831138883
2023-02-08,1,22946.56640625,21819.005859375,-0.04913853022332282,0.611746,0.5213070986626626,,,1.0,-0.04913853022332282,0.9291913208241137,0.0,-0.0015,0.9516335015074278,1.0,-0.04913853022332282,0.9291913208241137
2023-02-09,1,21819.005859375,21651.841796875,-0.0076613968380312425,0.6288202,0.5313765629431018,,,1.0,-0.0076613968380312425,0.9220724173768258,0.0,-0.0,0.9516335015074278,1.0,-0.0076613968380312425,0.9220724173768258
2023-02-10,1,21651.841796875,21870.90234375,0.010117409360834051,0.5927295,0.510260325145011,,,1.0,0.010117409360834051,0.9314014014837609,0.0,0.0,0.9516335015074278,1.0,0.010117409360834051,0.9314014014837609
2023-02-11,1,21870.90234375,21787.0,-0.0038362543269265803,0.55244744,0.4873258941771235,,,1.0,-0.0038362543269265803,0.9278283088272133,0.0,-0.0,0.9516335015074278,0.0,-0.0015,0.9300042993815354
2023-02-12,1,21787.0,21801.822265625,0.0006803261405883276,0.5753617,0.5003034733259871,,,1.0,0.0006803261405883276,0.9284595346796863,0.0,0.0,0.9516335015074278,1.0,-0.0008196738594116724,0.929241999168192
2023-02-13,1,21801.822265625,22220.5859375,0.01920773716861568,0.53144747,0.4755586090323671,,,1.0,0.01920773716861568,0.946293141393509,0.0,0.0,0.9516335015074278,0.0,-0.0015,0.9278481361694397
2023-02-14,1,22220.5859375,24307.349609375,0.09391128018606065,0.43538246,0.4224260646702432,,,1.0,0.09391128018606065,1.0351607417330624,0.0,0.0,0.9516335015074278,0.0,0.0,0.9278481361694397
2023-02-15,1,24307.349609375,23621.283203125,-0.028224648810966757,0.5782119,0.5019296908244972,,,1.0,-0.028224648810966757,1.0059436933347468,1.0,-0.02972464881096676,0.9233465298783688,1.0,-0.02972464881096676,0.900268176171893
2023-02-16,1,23621.283203125,24565.296875,0.03996453807175526,0.60002965,0.5144817472547955,,,1.0,0.03996453807175526,1.0461457683650655,1.0,0.03996453807175526,0.960247647425116,1.0,0.03996453807175526,0.9362469779733044
2023-02-17,1,24565.296875,24640.02734375,0.003042115433420811,0.6293937,0.5317175381976795,,,1.0,0.003042115433420811,1.0493282645526167,1.0,0.003042115433420811,0.9631688316132541,1.0,0.003042115433420811,0.9390951493544906
2023-02-18,1,24640.02734375,24336.623046875,-0.012313472409841264,0.7271144,0.5933839316007811,,,1.0,-0.012313472409841264,1.0364073899181814,1.0,-0.012313472409841264,0.9513088787791653,1.0,-0.012313472409841264,0.9275316271426983
2023-02-19,1,24336.623046875,24833.048828125,0.020398301781386463,0.5962663,0.5123026877090334,,,1.0,0.020398301781386463,1.0575483406261914,1.0,0.020398301781386463,0.970713964375815,1.0,0.020398301781386463,0.9464516971849355
2023-02-20,1,24833.048828125,24437.41796875,-0.015931626523720377,0.5443845,0.4827953787158704,,,1.0,-0.015931626523720377,1.0406998754325547,1.0,-0.015931626523720377,0.9552489120340195,0.0,-0.0015,0.9450320196391582
2023-02-21,1,24437.41796875,24190.71875,-0.010095142582799643,0.5563878,0.4895462432090706,,,1.0,-0.010095142582799643,1.0301938618041613,1.0,-0.010095142582799643,0.9456055380649718,0.0,-0.0,0.9450320196391582
2023-02-22,1,24190.71875,23946.0078125,-0.010115901889025114,0.5772921,0.5014045553133134,,,1.0,-0.010115901889025114,1.0197725217714746,1.0,-0.010115901889025114,0.9360398852161878,1.0,-0.011615901889025114,0.9340546204170425
2023-02-23,1,23946.0078125,23200.125,-0.03114852456160322,0.5535339,0.4879376835047749,,,1.0,-0.03114852456160322,0.9880081123298278,1.0,-0.03114852456160322,0.906883623860891,0.0,-0.0015,0.932653538486417
2023-02-24,1,23200.125,23174.150390625,-0.0011195891994116858,0.59350264,0.5107063256098118,,,1.0,-0.0011195891994116858,0.9869019491183322,0.0,-0.0015,0.9055232984250998,1.0,-0.002619589199411686,0.930210369350205
2023-02-25,1,23174.150390625,23561.451171875,0.01671262051560185,0.613086,0.5220918782699412,,,1.0,0.01671262051560185,1.0033956668800548,0.0,0.0,0.9055232984250998,1.0,0.01671262051560185,0.9457566222528327
2023-02-26,1,23561.451171875,23521.837890625,-0.0016812751031772821,0.48482013,0.4497073324456341,,,1.0,-0.0016812751031772821,1.0017086827266934,1.0,-0.003181275103177282,0.9026425797004731,0.0,-0.0015,0.9443379873194535
2023-02-27,1,23521.837890625,23150.9296875,-0.015768674405873373,0.5177146,0.46791350259113,,,1.0,-0.015768674405873373,0.9859130646592399,1.0,-0.015768674405873373,0.8884091027562988,0.0,-0.0,0.9443379873194535
2023-02-28,1,23150.9296875,23647.01953125,0.021428506347106024,0.49776047,0.4568560628836027,,,1.0,0.021428506347106024,1.0070397090229852,0.0,-0.0015,0.8870764891021644,0.0,0.0,0.9443379873194535
2023-03-01,1,23647.01953125,23476.6328125,-0.007205420476979363,0.44376028,0.4270554056316616,,,1.0,-0.007205420476979363,0.9997835644824596,1.0,-0.008705420476979362,0.8793541152692875,0.0,-0.0,0.9443379873194535
2023-03-02,1,23476.6328125,22362.923828125,-0.04743904261185239,0.49096653,0.4531012420148018,,,1.0,-0.04743904261185239,0.9523547893643466,0.0,-0.0015,0.8780350840963836,0.0,-0.0,0.9443379873194535
2023-03-03,1,22362.923828125,22354.14453125,-0.00039258269367969945,0.5715506,0.4981334105537478,,,1.0,-0.00039258269367969945,0.9519809113557992,0.0,-0.0,0.8780350840963836,0.0,-0.0,0.9443379873194535
2023-03-04,1,22354.14453125,22436.81640625,0.0036982795241584654,0.60485977,0.5172877666509297,,,1.0,0.0036982795241584654,0.9555016028676561,0.0,0.0,0.8780350840963836,1.0,0.0021982795241584654,0.9464139061808629
2023-03-05,1,22436.81640625,22428.322265625,-0.00037858047555416885,0.5113542,0.4643832646466143,,,1.0,-0.00037858047555416885,0.9551398686164496,0.0,-0.0,0.8780350840963836,0.0,-0.0015,0.9449942853215916
2023-03-06,1,22428.322265625,22216.44140625,-0.009447022245606895,0.5695626,0.4970033977135651,,,1.0,-0.009447022245606895,0.946116641029964,0.0,-0.0,0.8780350840963836,0.0,-0.0,0.9449942853215916
2023-03-07,1,22216.44140625,21720.080078125,-0.02234207175886238,0.5081484,0.4626060939562743,,,1.0,-0.02234207175886238,0.9249784351438186,0.0,-0.0,0.8780350840963836,0.0,-0.0,0.9449942853215916
2023-03-08,1,21720.080078125,20367.001953125,-0.06229618491889122,0.4862875,0.4505173647310702,,,1.0,-0.06229618491889122,0.8673558075021126,0.0,-0.0,0.8780350840963836,0.0,-0.0,0.9449942853215916
2023-03-09,1,20367.001953125,20187.876953125,-0.008794863397777353,0.6849766,0.5657949693593568,,,1.0,-0.008794863397777353,0.8597275316578626,0.0,-0.0,0.8780350840963836,1.0,-0.010294863397777352,0.9352656982425256
2023-03-10,1,20187.876953125,20628.029296875,0.021802804959234034,0.64223146,0.5394007245669056,,,1.0,0.021802804959234034,0.8784720033486827,0.0,0.0,0.8780350840963836,1.0,0.021802804959234034,0.9556571138463692
2023-03-11,1,20628.029296875,22156.40625,0.0740922427018531,0.5473467,0.4844578980531431,,,1.0,0.0740922427018531,0.9435599642275764,0.0,0.0,0.8780350840963836,0.0,-0.0015,0.9542236281755997
2023-03-12,1,22156.40625,24201.765625,0.09231458170252682,0.45689577,0.4343045318133199,,,1.0,0.09231458170252682,1.0306643076364963,0.0,0.0,0.8780350840963836,0.0,0.0,0.9542236281755997
2023-03-13,1,24201.765625,24770.92578125,0.02351729890574883,0.5112244,0.4643112719404188,,,1.0,0.02351729890574883,1.0549027482306705,1.0,0.022017298905748828,0.897367044992668,0.0,0.0,0.9542236281755997
2023-03-14,1,24770.92578125,24373.45703125,-0.01604577695278786,0.61439234,0.52285783003127,,,1.0,-0.01604577695278786,1.0379760140256782,1.0,-0.01604577695278786,0.8829680935439332,1.0,-0.01754577695278786,0.9374810332325507
2023-03-15,1,24373.45703125,25055.123046875,0.027967555638537922,0.66052616,0.5505321288236288,,,1.0,0.027967555638537922,1.0670056659494092,1.0,0.027967555638537922,0.907662552827177,1.0,0.027967555638537922,0.963700086189556
2023-03-16,1,25055.123046875,27448.1171875,0.09550917535499659,0.6330646,0.5339045102202997,,,1.0,0.09550917535499659,1.1689144972033463,1.0,0.09550917535499659,0.9943526547483117,1.0,0.09550917535499659,1.0557422867110597
2023-03-17,1,27448.1171875,26969.50390625,-0.017437016826347684,0.61981857,0.5260486800506089,,,1.0,-0.017437016826347684,1.1485321154470498,1.0,-0.017437016826347684,0.9770141107761419,1.0,-0.017437016826347684,1.0373332906933923
2023-03-18,1,26969.50390625,28041.6015625,0.03975222013637225,0.62015384,0.5262463382322424,,,1.0,0.03975222013637225,1.1941888169339943,1.0,0.03975222013637225,1.015852590784057,1.0,0.03975222013637225,1.0785695920198235
2023-03-19,1,28041.6015625,27768.392578125,-0.009742987887694787,0.5347958,0.4774281023020069,,,1.0,-0.009742987887694787,1.1825538497549857,1.0,-0.009742987887694787,1.0059551512963645,0.0,-0.0015,1.0769517376317939
2023-03-20,1,27768.392578125,28158.720703125,0.014056561750984686,0.63192725,0.5332260793719535,,,1.0,0.014056561750984686,1.1991764909679312,1.0,0.014056561750984686,1.020095421999283,1.0,0.012556561750984687,1.0904745486281977
2023-03-21,1,28158.720703125,27301.95703125,-0.030426228553057766,0.5755654,0.5004195847413287,,,1.0,-0.030426228553057766,1.1626900729782872,1.0,-0.030426228553057766,0.9890577655436049,1.0,-0.030426228553057766,1.0572955207803436
2023-03-22,1,27301.95703125,28324.111328125,0.03743886548883779,0.6902942,0.5691803054873008,,,1.0,0.03743886548883779,1.2062198702257283,1.0,0.03743886548883779,1.0260869661884824,1.0,0.03743886548883779,1.0968794655647895
2023-03-23,1,28324.111328125,27487.337890625,-0.029542795811182576,0.5778426,0.5017188105842859,,,1.0,-0.029542795811182576,1.1705847628962585,1.0,-0.029542795811182576,0.9957734884618602,1.0,-0.029542795811182576,1.06447457948413
2023-03-24,1,27487.337890625,27495.5234375,0.0002977933660790466,0.6784052,0.5616454418346546,,,1.0,0.0002977933660790466,1.170933355273082,1.0,0.0002977933660790466,0.9960700232008415,1.0,0.0002977933660790466,1.0647915729522601
2023-03-25,1,27495.5234375,27994.068359375,0.01813185782799298,0.6928288,0.5708028412399444,,,1.0,0.01813185782799298,1.1921645523969484,1.0,0.01813185782799298,1.0141306232482448,1.0,0.01813185782799298,1.0840982223694755
