asset,captured_at,language,metadata,news_id,provider,published_at,query,raw_payload_sha256,source,title,url
BTC-USD,2026-09-21T19:42:00.614161+00:00,en,"{""feed_url"": ""https://news.google.com/rss/search?q=%22Bitcoin%22%20when%3A7d&hl=en-US&gl=US&ceid=US:en"", ""position"": 5}",74116f98ff57c0bdbf9b2aa78b5b0fe649729e0961f3bf4c6ce1260dc709fb22,google_news_rss,2026-09-15T15:23:42+00:00,Bitcoin,17bf474066606ea1f36762e195facfa28d09dcfa2d1b4bce8f986326aca4dc53,Bloomberg.com,Bitcoin Rally Stalls as Optimism About US Crypto Bill Wanes - Bloomberg.com,https://news.google.com/rss/articles/CBMirwFBVV95cUxNUmZMSzVFeWhfc1M5dnJnVkh0dlhqNTRUbFVvOUZCQzItb1lyOThLMFhOc0VISkpGUm0xQTZvWk1OOXZjYzlxQy0xV2ZfNHNQcUhsVGM5YjlNV3dDVUwyaV9SX3dwU3hRVWpmQm5hbThtWXkzb2h1LXU0V1pqYllwQzZEYkkxR0F0YVZoQVQ2aFBxTGRibnhHQmJPV0VrSGd6NS1xQXp5VUpUdnVXSUdB?oc=5
BTC-USD,2026-09-21T19:42:00.614161+00:00,en,"{""feed_url"": ""https://news.google.com/rss/search?q=%22Bitcoin%22%20when%3A7d&hl=en-US&gl=US&ceid=US:en"", ""position"": 2}",798a8c99076594e2ef7f9fab4b1a2bb1895c36323b78f2a8be39702aa61ea780,google_news_rss,2026-09-18T12:00:00+00:00,Bitcoin,3f3d090de60482ba05b7ca1d19ece1c3f00b7e4190d9755883097aa4ad9caf24,Fortune,"Current price of Bitcoin for September 18, 2026 - Fortune",https://news.google.com/rss/articles/CBMiZ0FVX3lxTE1IQmVQWWM0SHZSOHRqTzJlMnRqamFHTVJ3YVVlSEZhc0JYbExXLUVjMmkwRGVWRjFaZHNBQW5vdTc5M3pxeTBvdzhGNmo4RTZOTFlUaUpvRWxOOXBoV2ZnRlhvUTRwU0U?oc=5
BTC-USD,2026-09-21T19:42:00.614161+00:00,en,"{""feed_url"": ""https://news.google.com/rss/search?q=%22Bitcoin%22%20when%3A7d&hl=en-US&gl=US&ceid=US:en"", ""position"": 3}",9dc9ade2f6071352f8ffbb9854d30309d4a03d846604e67fe04ce19fb42d6a09,google_news_rss,2026-09-20T09:40:00+00:00,Bitcoin,b8b8f809407d43052435e3d2a56fc32e00ebc3a4b0ba55695d4c48570129eeeb,Slate Magazine,How Bitcoin Became an Emotional Tether for a Specific Type of Lost Boy - Slate Magazine,https://news.google.com/rss/articles/CBMioAFBVV95cUxOS2Fya2hHWGRsSHVFZWtsbXZBUXh2cjlYeDNidjRaZzRIR3h4YmtMb1RYN21DU052RkNQTjk3djVoVm5UTGFEVFF4TlFSdGpVYjRnOGNUbVJkaDNoR01IN3lXSFQ2MUZKb1RQRmF6OVFBVGFEbkxjZlg5RWQtX1NrOEVZdmswZkZDZ3ZpYnpIaXJTU25qMm1pWHZlWWpfYkdE?oc=5
BTC-USD,2026-09-21T19:42:00.614161+00:00,en,"{""feed_url"": ""https://news.google.com/rss/search?q=%22Bitcoin%22%20when%3A7d&hl=en-US&gl=US&ceid=US:en"", ""position"": 4}",3fe23f7dc6ea7894a9a6f089870f5b15574fd04cb3abee19ef7a48122927a3bc,google_news_rss,2026-09-21T11:10:55+00:00,Bitcoin,f59fbeec1c24ac62092a7a7aedb142d04d0acf3c888fcfd20b2fbb7dc7db0943,CNBC,"Bitcoin hits highest level since January at $85,000, as the market debates whether the 'crypto winter' is over - CNBC",https://news.google.com/rss/articles/CBMicEFVX3lxTFB1ZmdGWG5ublkyVnNGaHplY002MVBfV1g0a1Fpckd0N2lRM0RsSWk4R0R1cjQtVXd5T2dhRERVdFc1MVctWndZWTQ5TTY3dlhwOHNVTXVrNnh4SmkyVjRodWQySmF6Zzd5SkdNdHNSY2bSAXZBVV95cUxNdE0zQ2N1bUlzeERWOEpqWGcxNnRwemNMZWtmemdsRnIwbXpuRnJvdTdON2xnNUF5ZmZoX212SWZORE13Y2pONVd6NnR0S3lYTDJNM2pqN0lLVGhZTDJBeHJVbnQ5XzVkSVlLMHZqdDBzUnlEbGZB?oc=5
BTC-USD,2026-09-21T19:42:00.614161+00:00,en,"{""feed_url"": ""https://news.google.com/rss/search?q=%22Bitcoin%22%20when%3A7d&hl=en-US&gl=US&ceid=US:en"", ""position"": 1}",b043b2a274d69438ca870b88cb3d325a9379c37eb7761ce305c1ee2d782ab2b2,google_news_rss,2026-09-21T18:57:00+00:00,Bitcoin,9c71cd53750d80601c805c7918a4e7b75a17ec4278c3bb61b38d43c118520235,wsj.com,"Bitcoin Jumps Above $86,000 to 8-Month High - wsj.com",https://news.google.com/rss/articles/CBMilAFBVV95cUxPbm1ocHJySVRjNEFTTk9TQnk2bGJReXFfc3VvcEk4Q3ZwaElWZFptS2FvSUFVNWJsU2p6Q2RUU3BoNWdWNUpyMHVYbzNEZ3dVajlKY2YzSnNBdC1sWDlJV3lIOXBOa0ZqeWYtU01Yemw3WFFIeDVVRTE1b0lUUDFwZWtVM2xQSy1iUzNvMktrWkFKaFhm?oc=5
